timestamp,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
2026-04-27 22:28:35,트릭컬,블루아카,버튜버,니케,림버스,ㅇㅇㄱ,명조,라오,엔드필드,토끼,던파,마나토끼,롤,건담,인방,원신,@,스타레일,젠레스,소전2,트럼프,야구
2026-04-28 10:17:05,트릭컬,블루아카,니케,버튜버,디아,디아4,림버스,명조,ㅇㅇㄱ,말딸,히로아카,이환,건담,롤,소전2,젠레스,암약,네이버페이,모수,원피스,던파,엔드필드
2026-04-28 11:18:35,블루아카,니케,트릭컬,버튜버,이환,디아,디아4,명조,림버스,ㅇㅇㄱ,말딸,네이버페이,건담,젠레스,라오,던파,@,원피스,히로아카,070,페이트,엔드필드
2026-04-28 12:14:57,블루아카,트릭컬,니케,버튜버,디아4,디아,명조,림버스,원신,말딸,건담,이환,ㅇㅇㄱ,원피스,070,붉은사막,페이트,젠레스,@,스타레일,엔드필드,트럼프
2026-04-28 13:16:33,블루아카,트릭컬,디아,니케,디아4,버튜버,명조,젠레스,림버스,지제네,건담,이환,원신,말딸,디아블로,스타레일,ㅇㅇㄱ,엔드필드,070,원피스,롤,라오
2026-04-28 14:18:09,젠레스,블루아카,트릭컬,니케,디아,버튜버,명조,디아4,림버스,건담,롤,ㅇㅇㄱ,이환,말딸,엔드필드,디아블로,던파,원신,스타레일,카제나,프래그마타,페이트
2026-04-28 15:22:10,젠레스,블루아카,트릭컬,니케,디아,명조,버튜버,디아4,림버스,건담,이환,롤,프래그마타,ㅇㅇㄱ,말딸,소전2,붉은사막,원피스,스타레일,포켓몬,디아블로,페이트
2026-04-28 15:27:17,젠레스,블루아카,트릭컬,니케,디아,명조,버튜버,디아4,림버스,건담,이환,롤,프래그마타,ㅇㅇㄱ,말딸,소전2,붉은사막,원피스,스타레일,포켓몬,디아블로,페이트
2026-04-28 16:23:47,젠레스,트릭컬,블루아카,인방,림버스,디아,니케,버튜버,명조,디아4,김도,실수,ㅇㅇㄱ,스타레일,이환,롤,말딸,소전2,건담,원신,엔드필드,붉은사막
2026-04-28 17:20:28,롤,트릭컬,블루아카,림버스,젠레스,니케,디아,디아4,버튜버,명조,이환,인방,김도,엔드필드,건담,ㅇㅇㄱ,디아블,말딸,원신,소전2,스타레일,@
2026-04-28 18:22:17,롤,트릭컬,블루아카,림버스,니케,버튜버,디아,젠레스,인방,명조,김도,건담,디아4,엔드필드,스타레일,원신,디아블,이환,원피스,@,말딸,ㅇㅇㄱ
2026-04-28 19:24:08,트릭컬,롤,블루아카,버튜버,젠레스,니케,50,림버스,명조,디아,건담,디아4,페이트,인방,ㅇㅇㄱ,김도,엔드필드,말딸,원신,이환,@,소전
2026-04-28 20:25:49,50,블루아카,트릭컬,니케,버튜버,롤,젠레스,명조,림버스,건담,디아,토끼,디아4,인방,말딸,원신,@,ㅇㅇㄱ,엔드필드,이환,야구,오버워치
2026-04-28 21:27:28,트릭컬,블루아카,버튜버,니케,명조,말딸,림버스,롤,50,디아,젠레스,야구,@,디아4,토끼,ㅇㅇㄱ,건담,던파,원신,인방,이환,엔드필드
2026-04-29 10:37:30,블루아카,트릭컬,카제나,디아,니케,이환,버튜버,디아4,롤,명조,림버스,건담,말딸,ㅇㅇㄱ,엔드필드,젠레스,네이버페이,원신,던파,야구,소전,디아블로4
2026-04-29 11:39:10,이환,블루아카,트릭컬,버튜버,니케,롤,명조,디아,유부감자,카제나,림버스,젠레스,디아4,말딸,건담,던파,ㅇㅇㄱ,원신,토끼,엔드필드,소전,네이버페이
2026-04-29 12:40:43,이환,트릭컬,블루아카,롤,버튜버,니케,디아,명조,림버스,건담,디아4,@,카제나,말딸,엔드필드,젠레스,포켓몬,원신,유부감자,몬길,ㅇㅇㄱ,토끼
2026-04-29 13:42:14,이환,트릭컬,블루아카,롤,버튜버,젠레스,니케,명조,디아,디아4,말딸,림버스,건담,몬길,유부감자,MCU,스타레일,포켓몬,ㅇㅇㄱ,원신,페이트,주술회전
2026-04-29 14:43:40,이환,트릭컬,블루아카,롤,젠레스,버튜버,디아,니케,림버스,디아4,명조,카제나,유부감자,건담,말딸,스타레일,인방,주술회전,@,ㅇㅇㄱ,몬길,원신
2026-04-29 15:45:11,이환,롤,트릭컬,블루아카,버튜버,젠레스,니케,림버스,프리큐어,디아,원신,명조,던파,유희왕,엔드필드,@,디아4,소전2,말딸,유부감자,건담,스타레일
2026-04-29 16:41:49,이환,트릭컬,롤,블루아카,버튜버,니케,젠레스,림버스,명조,디아,유희왕,디아4,말딸,스타레일,원신,건담,소전2,프리큐어,ㅇㅇㄱ,흑인,메이플,@
2026-04-29 17:43:28,이환,트릭컬,롤,블루아카,버튜버,니케,림버스,젠레스,ㅇㅇㄱ,명조,건담,디아,엔드필드,토끼,소전2,주술회전,붉은사막,인방,유희왕,말딸,원신,@
2026-04-29 18:45:20,이환,롤,트릭컬,버튜버,블루아카,니케,명조,건담,림버스,젠레스,ㅇㅇㄱ,주술회전,디아,소전2,엔드필드,@,소전,카제나,페이트,원신,말딸,유희왕
2026-04-29 19:47:00,이환,롤,트릭컬,블루아카,버튜버,건담,니케,오버워치,림버스,명조,탱장연,젠레스,야구,디아,@,ㅇㅇㄱ,원신,유희왕,엔드필드,카제나,말딸,삼성
2026-04-29 20:48:39,이환,롤,트릭컬,블루아카,버튜버,니케,림버스,명조,건담,오버워치,젠레스,탱장연,말딸,야구,디아,@,ㅇㅇㄱ,원신,소전,유희왕,소전2,엔드필드
2026-04-29 21:50:17,이환,블루아카,트릭컬,롤,버튜버,니케,명조,건담,림버스,야구,젠레스,원신,ㅇㅇㄱ,유희왕,@,소전2,디아,소전,엔드필드,오버워치,마리오,말딸
2026-04-30 10:55:28,이환,니케,명조,트릭컬,블루아카,버튜버,롤,ㅇㅇㄱ,젠레스,디아,오버워치,건담,주술회전,디아4,림버스,원신,엔드필드,던파,네이버페이,말딸,주식,소전
2026-04-30 11:57:06,이환,니케,명조,트릭컬,블루아카,오버워치,ㅇㅇㄱ,버튜버,롤,림버스,젠레스,던파,원피스,건담,디아,탱장연,말딸,원신,네이버,스팀,소전,디아4
2026-04-30 12:58:35,니케,트릭컬,이환,블루아카,명조,버튜버,림버스,오버워치,롤,ㅇㅇㄱ,탱장연,건담,젠레스,던파,디아,말딸,원피스,@,원신,디아4,소전,주식
2026-04-30 14:00:11,니케,젠레스,블루아카,이환,트릭컬,림버스,명조,버튜버,오버워치,롤,KV,탱장연,ㅇㅇㄱ,던파,건담,원피스,디아,말딸,라오,슈로대,@,kv
2026-04-30 15:01:47,젠레스,니케,KV,이환,트릭컬,명조,블루아카,림버스,버튜버,롤,오버워치,kv,디아,민영화,탱장연,ㅇㅇㄱ,디아4,인방,한전,건담,말딸,슈로대
2026-04-30 16:03:22,롤,트릭컬,민영화,블루아카,니케,명조,이환,림버스,젠레스,버튜버,KV,한전,민영,오버워치,건담,탱장연,ㅇㅇㄱ,전기,말딸,엔드필드,원신,디아
2026-04-30 17:04:55,민영화,롤,트릭컬,이환,니케,명조,블루아카,버튜버,림버스,젠레스,민영,한전,오버워치,ㅇㅇㄱ,인삼,전기,디아4,쿠팡,디아,말딸,@,원신
2026-04-30 18:01:19,민영화,트릭컬,롤,명조,블루아카,니케,림버스,젠레스,버튜버,이환,민영,한전,오버워치,탱장연,디아,건담,던파,디아4,ㅇㅇㄱ,원신,@,인방
2026-04-30 19:02:59,트릭컬,롤,니케,버튜버,블루아카,명조,이환,젠레스,림버스,민영화,오버워치,라오,탱장연,노벨피아,건담,민영,ㅇㅇㄱ,웹소,던파,노벨,@,한전
2026-04-30 20:04:36,트릭컬,롤,명조,블루아카,버튜버,니케,이환,림버스,민영화,젠레스,건담,라오,서코,야구,탱장연,민영,오버워치,말딸,ㅇㅇㄱ,원신,한전,디아
2026-04-30 21:06:09,트릭컬,롤,블루아카,니케,명조,버튜버,이환,젠레스,림버스,민영화,건담,야구,서코,일본,라오,ㅇㅇㄱ,오버워치,@,디아,소전2,원신,원피스
2026-05-01 10:16:50,트릭컬,블루아카,명조,검열,니케,이환,버튜버,라오,림버스,젠레스,롤,좌우좌,디아,건담,네이버페이,ㅇㅇㄱ,말딸,차단,던파,원신,페이트,엔드필드
2026-05-01 11:18:17,트릭컬,검열,니케,명조,블루아카,버튜버,이환,롤,림버스,젠레스,원피스,건담,네이버페이,원신,주술회전,차단,말딸,@,좌우좌,민영화,ㅇㅇㄱ,포켓몬
2026-05-01 12:19:50,트릭컬,검열,롤,명조,블루아카,니케,이환,버튜버,림버스,젠레스,포켓몬,오버워치,탱장연,원피스,던파,라오,민영화,말딸,ㅇㅇㄱ,@,건담,원신
2026-05-01 13:21:28,트릭컬,검열,블루아카,오버워치,명조,니케,버튜버,이환,롤,젠레스,탱장연,림버스,포켓몬,말딸,던파,페이트,건담,@,원신,ㅇㅇㄱ,민영화,페그오
2026-05-01 14:23:01,트릭컬,블루아카,검열,버튜버,오버워치,니케,명조,젠레스,롤,이환,포켓몬,림버스,탱장연,민영화,@,건담,원신,말딸,ㅇㅇㄱ,페그오,디아,원피스
2026-05-01 15:24:38,트릭컬,블루아카,롤,버튜버,명조,검열,니케,이환,젠레스,오버워치,림버스,포켓몬,탱장연,@,건담,원신,ㅇㅇㄱ,말딸,원피스,던파,민영화,페이트
2026-05-01 16:26:09,트릭컬,명조,블루아카,젠레스,이환,니케,버튜버,오버워치,롤,검열,림버스,포켓몬,원신,탱장연,던파,디아,건담,ㅇㅇㄱ,말딸,프래그마타,@,유희왕
2026-05-01 17:22:34,롤,트릭컬,명조,이환,블루아카,니케,버튜버,젠레스,검열,림버스,ㅇㅇㄱ,포켓몬,오버워치,건담,@,원신,탱장연,원피스,엔드필드,유희왕,말딸,인방
2026-05-01 18:24:10,롤,트릭컬,블루아카,버튜버,명조,니케,이환,검열,림버스,ㅇㅇㄱ,젠레스,오버워치,건담,포켓몬,탱장연,야구,말딸,@,던파,스타레일,페그오,원신
2026-05-01 19:25:40,롤,트릭컬,블루아카,버튜버,명조,검열,니케,이환,림버스,젠레스,탱장연,야구,포켓몬,ㅇㅇㄱ,오버워치,스타레일,페이트,@,원신,인방,건담,말딸
2026-05-01 20:27:20,롤,트릭컬,버튜버,블루아카,명조,검열,니케,림버스,이환,ㅇㅇㄱ,젠레스,야구,포켓몬,오버워치,주술회전,건담,탱장연,네이버페이,말딸,@,원신,던파
2026-05-01 21:28:52,롤,트릭컬,블루아카,버튜버,명조,검열,림버스,니케,이환,젠레스,오버워치,건담,포켓몬,야구,원신,ㅇㅇㄱ,@,죠죠,말딸,탱장연,네이버페이,주술회전
2026-05-02 10:39:21,검열,블루아카,트릭컬,니케,버튜버,건담,명조,이환,롤,림버스,젠레스,오버워치,페이트,포켓몬,말딸,ㅇㅇㄱ,원신,네이버페이,디아4,디아,원피스,유희왕
2026-05-02 11:40:58,검열,트릭컬,블루아카,버튜버,니케,명조,건담,이환,붉은사막,롤,젠레스,림버스,활협전,말딸,디아4,ㅇㅇㄱ,붉은,던파,포켓몬,디아,소전2,워해머
2026-05-02 12:42:31,트릭컬,검열,블루아카,버튜버,명조,니케,이환,건담,림버스,붉은사막,젠레스,롤,말딸,탱장연,@,ㅇㅇㄱ,원피스,원신,디아4,포켓몬,스타레일,페이트
2026-05-02 13:44:10,트릭컬,검열,블루아카,버튜버,명조,니케,젠레스,이환,롤,림버스,건담,탱장연,말딸,붉은사막,포켓몬,@,ㅇㅇㄱ,던전밥,디아,디아4,유희왕,페그오
2026-05-02 14:45:48,트릭컬,검열,블루아카,이환,명조,버튜버,니케,젠레스,림버스,롤,코믹,건담,붉은사막,ㅇㅇㄱ,말딸,페이트,탱장연,나히아,오버워치,유희왕,포켓몬,서코
2026-05-02 15:47:23,트릭컬,검열,블루아카,롤,이환,버튜버,명조,니케,젠레스,림버스,건담,페이트,오버워치,붉은사막,말딸,탱장연,@,디아,유희왕,서코,ㅇㅇㄱ,붉은
2026-05-02 16:43:50,트릭컬,검열,블루아카,이환,롤,버튜버,명조,젠레스,니케,림버스,건담,ㅇㅇㄱ,말딸,서코,붉은사막,트럼프,디아,@,던파,오버워치,탱장연,소전
2026-05-02 17:45:23,롤,트릭컬,블루아카,검열,버튜버,이환,명조,니케,건담,림버스,붉은사막,ㅇㅇㄱ,야구,젠레스,서코,오버워치,말딸,페이트,@,디아,붉은,수코
2026-05-02 18:46:56,롤,트릭컬,버튜버,블루아카,명조,검열,이환,니케,서코,붉은사막,림버스,코믹,야구,말딸,젠레스,ㅇㅇㄱ,수코,인방,건담,코스,원신,페그오
2026-05-02 19:48:24,롤,트릭컬,버튜버,블루아카,이환,검열,명조,니케,젠레스,림버스,코스,서코,야구,ㅇㅇㄱ,건담,코믹,말딸,페그오,수코,주술회전,소전,@
2026-05-02 20:49:58,버튜버,트릭컬,롤,블루아카,명조,검열,니케,이환,젠레스,림버스,야구,소전,서코,디지몬,ㅇㅇㄱ,페이트,@,말딸,코스,워해머,원신,건담
2026-05-02 21:51:29,트릭컬,롤,버튜버,블루아카,페이트,명조,소전,검열,소전2,이환,니케,림버스,젠레스,건담,유희왕,ㅇㅇㄱ,수코,서코,디지몬,원신,페그오,@
2026-05-03 11:02:21,트릭컬,블루아카,명조,버튜버,니케,건담,이환,검열,프리큐어,오버워치,림버스,소전,롤,소전2,젠레스,탱장연,디지몬,ㅇㅇㄱ,말딸,@,나히아,붉은사막
2026-05-03 11:58:45,트릭컬,블루아카,명조,버튜버,니케,이환,검열,건담,오버워치,프리큐어,젠레스,림버스,탱장연,말딸,소전,롤,@,ㅇㅇㄱ,디지몬,스타레일,던파,붉은사막
2026-05-03 13:00:21,트릭컬,블루아카,니케,명조,버튜버,이환,오버워치,검열,림버스,건담,탱장연,프리큐어,젠레스,@,페이트,소전2,말딸,소전,ㅇㅇㄱ,슈로대,던파,붉은사막
2026-05-03 14:01:51,트릭컬,블루아카,명조,버튜버,니케,이환,건담,검열,림버스,오버워치,ㅇㅇㄱ,소전2,젠레스,롤,프리큐어,페이트,@,탱장연,소전,디지몬,말딸,수코
2026-05-03 15:03:22,트릭컬,블루아카,명조,버튜버,니케,서코,이환,철권,림버스,건담,검열,젠레스,히로아카,수코,롤,탱장연,오버워치,야구,코믹,프리큐어,말딸,소전2
2026-05-03 16:04:57,트릭컬,블루아카,명조,버튜버,니케,이환,서코,야구,말딸,검열,림버스,오버워치,건담,소전2,젠레스,페이트,@,수코,롤,소전,프리큐어,철권
2026-05-03 17:06:43,트릭컬,블루아카,명조,버튜버,이환,림버스,니케,오버워치,말딸,젠레스,검열,야구,건담,스타레일,탱장연,@,롤,원신,서코,페이트,소전,수코
